lifter,age,bodyWeight,snatch1,snatch2,snatch3,snatchBest,cj1,cj2,cj3,cjBest,total
"Dryden Parchewsky","Open Men's 89kg",89,0,0,117,117,0,0,135,135,252
"Tyler Cox","Men's 13 Under Age Group 73kg",73,0,0,50,50,0,0,68,68,118
"Garrick Sargento","Open Men's 96kg",95,93,97,-100,97,123,126,131,131,228
"Tyler  Hamil","Open Men's 96kg",93.3,80,83,-86,83,126,130,134,134,217
"aiden seppi","Open Men's 81kg",75.9,83,86,90,90,108,-111,113,113,203
"Michael Wilps","Open Men's 89kg",82.9,-85,85,90,90,102,-104,106,106,196
"Kelly Slaven","Open Women's 87kg",83.7,75,78,-80,78,85,90,-95,90,168
"Mandy Hull","Women's Masters (40-44) +87kg",94.7,59,-65,66,66,90,-94,-98,90,156
"Mandy O’Shell","Open Women's 59kg",56.4,61,65,-69,65,81,85,88,88,153
"Isaac Cree","Open Men's 89kg",86.2,-65,65,-70,65,78,-83,83,83,148
"Gabriella Mowery","Open Women's 71kg",69.5,55,58,61,61,70,-78,78,78,139
"McKenzie Borchers","Open Women's 71kg",68.2,54,58,60,60,74,-78,78,78,138
"Kelsey Enochs","Women's Masters (35-39) +87kg",118.1,50,53,56,56,70,73,76,76,132
"Maria Early","Open Women's 71kg",68.8,-55,55,-57,55,67,70,-73,70,125
"Madison Thibodeau","Open Women's 71kg",69.4,47,-50,-50,47,57,60,63,63,110
"Dena Joyce","Women's Masters (40-44) 87kg",82.1,-43,45,-47,45,54,57,60,60,105
"Angelina Gauley","Open Women's 76kg",74.6,56,59,-63,59,-75,-76,-76,0,0
"Rachael  Hannan","Open Women's 64kg",63.5,-52,-52,-52,0,63,66,-70,66,0
"Cory Ebert","Open Men's 81kg",81,110,-113,114,114,147,-153,-153,147,261
"Jason Barrow","Open Men's 89kg",88.7,100,105,110,110,130,-135,137,137,247
"Felix Lien","Open Men's 73kg",71.7,102,106,-109,106,-120,125,-128,125,231
"Yuepheng Xiong","Open Men's 73kg",72.7,90,95,-100,95,125,-128,-128,125,220
"Jake Rutkowski","Open Men's 81kg",73.4,65,-70,70,70,100,-105,105,105,175
"Allysen Byerley","Junior Women's 81kg",80.9,59,61,64,64,82,84,86,86,150
"Francis Avogo","Men's 16-17 Age Group 73kg",71,55,60,64,64,75,80,86,86,150
"Corbin Gray","Men's 16-17 Age Group +102kg",128.8,55,58,61,61,73,77,80,80,141
"Jared Ellias","Open Men's 89kg",88,55,60,65,65,75,-80,-80,75,140
"Jason Geheber","Men's Masters (45-49) 89kg",85.7,48,53,-61,53,-75,75,80,80,133
"Noah Hauser","Men's 13 Under Age Group +73kg",142,45,48,-50,48,55,59,62,62,110
"Morgan Race","Men's 14-15 Age Group 73kg",69.1,30,33,38,38,45,50,55,55,93
"Anthony Harris","Men's 14-15 Age Group 55kg",55,35,38,41,41,45,50,-55,50,91
"Aleesia Lopez","Women's 14-15 Age Group +76kg",91.6,30,33,35,35,42,45,47,47,82
"Andrell Singleton Jr.","Men's 13 Under Age Group 61kg",58.1,32,35,-38,35,38,-40,40,40,75
"Adrian Singleton","Women's 13 Under Age Group +64kg",70.9,28,30,-32,30,35,37,41,41,71
"Braylen Graham","Men's 13 Under Age Group +73kg",76.7,25,27,29,29,29,32,34,34,63
"Toby Harned","Men's 13 Under Age Group 61kg",56,19,21,23,23,25,31,33,33,56
"Kristopher Moore","Men's 13 Under Age Group 49kg",47.5,18,20,22,22,23,-25,25,25,47
"Erika Olascuaga","Women's 13 Under Age Group 49kg",45.6,16,18,19,19,20,22,23,23,42
"Tucker Campbell","Men's 13 Under Age Group 32kg",31.9,16,17,-18,17,18,19,20,20,37
"Lasitha Welianga","Open Men's 81kg",74.9,0,0,113,113,0,0,145,145,258
"Trey Vaughan","Open Men's 96kg",96,0,0,115,115,0,0,140,140,255
"Aaron Denney","Open Men's 81kg",79.7,0,0,115,115,0,0,135,135,250
"Logan Lewis","Open Men's 102kg",102,0,0,109,109,0,0,138,138,247
"Ray Santana","Open Men's 96kg",95.9,0,0,105,105,0,0,140,140,245
"Mike Cozza","Men's Masters (40-44) 81kg",80,0,0,110,110,0,0,130,130,240
"Tony Perez","Open Men's 81kg",80,0,0,102,102,0,0,134,134,236
"Carlin Vandendriessche","Open Men's 89kg",88.3,0,0,102,102,0,0,132,132,234
"Felix Lien","Open Men's 67kg",66.5,0,0,105,105,0,0,125,125,230
"Joseph Fisher","Open Men's 96kg",91.1,0,0,102,102,0,0,120,120,222
"Rafed Abbassi","Junior Men's 89kg",82.8,0,0,95,95,0,0,125,125,220
"Lucas Moylan","Open Men's 102kg",101.5,0,0,100,100,0,0,110,110,210
"Kimberlee Douglas","Open Women's +87kg",139.1,0,0,85,85,0,0,115,115,200
"Jose Curbelo","Men's Masters (40-44) 89kg",86,0,0,88,88,0,0,112,112,200
"Simon Thompson","Junior Men's 96kg",94.4,0,0,90,90,0,0,105,105,195
"Ethan van Heerden","Open Men's 96kg",95.9,0,0,81,81,0,0,114,114,195
"Bryan Polsonetti","Men's Masters (45-49) 89kg",88.2,0,0,85,85,0,0,110,110,195
"Jason Willis","Men's Masters (45-49) 102kg",99.51,0,0,80,80,0,0,115,115,195
